name,tags
Deceive Inc.,"Action,Shooter,Strategy,Stealth,PvP,Sandbox,Hero Shooter,FPS,Exploration,Competitive,First-Person,Survival,Detective,Multiplayer,Online Co-Op,Funny,Team-Based,Colorful,Tactical,Comedy,+"
Dice Kingdoms,"Early Access,Board Game,City Builder,PvP,Multiplayer,Strategy,Medieval,Turn-Based,Turn-Based Strategy,Auto Battler,3D,Base Building,Action,Management,Minimalist,Stylized,Building,Singleplayer,Colorful,Indie,+"
DeadPoly,"Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Post-apocalyptic,Third-Person Shooter,Online Co-Op,Singleplayer,PvP,Loot,Action,PvE,Crafting,Sandbox,Base Building,Building,Looter Shooter,Shooter,Early Access,+"
Oxygen Not Included,"Colony Sim,Base Building,Survival,Resource Management,Building,Singleplayer,Management,Simulation,2D,Sandbox,Strategy,Space,Indie,Sci-fi,Exploration,Difficult,Open World,Adventure,Multiplayer,Space Sim,+"
Endzone - A World Apart,"City Builder,Strategy,Survival,Post-apocalyptic,Simulation,Base Building,Indie,Building,Colony Sim,Sandbox,Management,Singleplayer,Resource Management,Economy,Real-Time,Difficult,Procedural Generation,Realistic,Atmospheric,Early Access,+"
APB Reloaded,"Free to Play,Open World,Multiplayer,Action,Character Customization,Massively Multiplayer,Shooter,Third-Person Shooter,PvP,Crime,Third Person,Co-op,Racing,Sandbox,FPS,Adventure,Singleplayer,Nudity,Hacking,Anime,+"
Hacknet,"Hacking,Simulation,Programming,Typing,Story Rich,Singleplayer,Choices Matter,Great Soundtrack,Crime,Atmospheric,Detective,Cyberpunk,2D,Logic,Education,Adventure,Difficult,Dystopian,Sci-fi,Indie,+"
Arma 3 Apex,"Simulation,Action,Military,Multiplayer,Strategy,Open World,FPS,Sandbox,Tactical,Co-op,Realistic,Shooter,Singleplayer,Survival,First-Person,Online Co-Op,Third-Person Shooter,Atmospheric,Walking Simulator,RPG,+"
Travellers Rest,"Life Sim,Pixel Graphics,Farming Sim,Management,RPG,Immersive Sim,Collectathon,Medieval,Crafting,Building,Fantasy,Isometric,Resource Management,Colorful,Singleplayer,Adventure,Indie,Inventory Management,Early Access,Simulation,+"
Terra Invicta,"Strategy,Simulation,Grand Strategy,Space,Sci-fi,Historical,4X,War,Tactical,Management,Sandbox,RTS,Military,Real-Time with Pause,Singleplayer,Moddable,Economy,Building,Atmospheric,Early Access,+"
Europa Universalis IV,"Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Singleplayer,Management,Multiplayer,Resource Management,Education,Great Soundtrack,+"
Expansion - Hearts of Iron IV: No Step Back,"Strategy,Simulation,World War II,Grand Strategy,Historical,War,Cute,Mature,Multiplayer,+"
Stronghold Kingdoms,"Strategy,Free to Play,Medieval,Massively Multiplayer,City Builder,Multiplayer,Real-Time,Building,War,RTS,Base Building,PvP,Sandbox,Simulation,Colony Sim,Grand Strategy,Idler,Real Time Tactics,Wargame,Isometric,+"
Summoners War: Chronicles,"RPG,Free to Play,MMORPG,Adventure,Action,Action-Adventure,Strategy RPG,JRPG,3D,Cinematic,Atmospheric,PvE,Co-op,Party-Based RPG,Multiplayer,PvP,Fantasy,Online Co-Op,Strategy,Exploration,+"
Diplomacy is Not an Option,"Early Access,Strategy,Tower Defense,City Builder,Colony Sim,Sandbox,War,RTS,Base Building,Medieval,Action RTS,Procedural Generation,Military,Colorful,Stylized,Building,Survival,Physics,Combat,3D,+"
Automation - The Car Company Tycoon Game,"Simulation,Management,Building,Sandbox,Strategy,Automobile Sim,Early Access,Realistic,Crafting,Indie,Education,Moddable,Science,Singleplayer,Economy,Racing,Replay Value,Immersive Sim,Physics,Choices Matter,+"
MONOPOLY Poker,"Casual,Multiplayer,Free to Play,Board Game,Simulation,Gambling,Strategy,Card Game,Turn-Based Tactics,PvP,3D,2D,+"
